Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('12:59:16:456706', 96.7671)"
"('12:59:17:712339', 77.5246)"
"('12:59:18:967615', 89.2045)"
"('12:59:20:223355', 74.673)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:18:30:914504', 95.2749)"
"('13:18:32:170515', 76.3137)"
"('13:18:33:429294', 88.7201)"
"('13:18:34:685414', 74.0324)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:35:43:718940', 93.1889)"
"('13:35:44:978870', 89.9232)"
"('13:35:46:234650', 73.7668)"
"('13:35:47:490235', 71.0401)"
"('13:35:48:748893', 83.1419)"
"('13:35:50:006228', 70.2589)"
"('13:35:51:267828', 68.8136)"
"('13:35:52:529034', 80.4934)"
"('13:35:53:785298', 67.6729)"
"('13:35:55:045946', 66.8057)"
"('13:35:56:303916', 81.6731)"
"('13:35:57:570652', 68.9542)"
"('13:35:58:831558', 66.6104)"
"('13:36:00:090238', 66.0869)"
"('13:36:01:346035', 65.8291)"
"('13:36:02:610332', 78.4465)"
"('13:36:03:866795', 67.2276)"
"('13:36:05:121846', 79.0559)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:36:25:565045', 91.1264)"
"('13:36:26:823829', 73.0558)"
"('13:36:28:079347', 84.1888)"
"('13:36:29:348514', 71.5011)"
"('13:36:30:604510', 68.5557)"
"('13:36:31:862365', 67.5557)"
"('13:36:33:121258', 66.8682)"
"('13:36:34:380734', 79.5637)"
"('13:36:35:641153', 67.8604)"
"('13:36:36:901274', 66.5401)"
"('13:36:38:162543', 65.9151)"
"('13:36:39:425025', 78.5793)"
"('13:36:40:688029', 68.0792)"
"('13:36:41:949151', 65.7666)"
"('13:36:43:206459', 65.3291)"
"('13:36:44:465135', 64.8682)"
"('13:36:45:726381', 65.0322)"
"('13:36:46:982385', 64.4307)"
"('13:36:48:239927', 64.5166)"
"('13:36:49:495277', 77.1262)"
"('13:36:50:756396', 66.1338)"
"('13:36:52:011782', 77.8371)"
"('13:36:53:271252', 66.2354)"
"('13:36:54:529998', 78.1418)"
"('13:36:55:786134', 66.4073)"
"('13:36:57:044800', 65.1494)"
"('13:36:58:301445', 64.7276)"
"('13:36:59:557082', 64.2275)"
"('13:37:00:818158', 64.001)"
"('13:37:02:073626', 63.79)"
"('13:37:03:332584', 76.3996)"
"('13:37:04:593719', 65.4307)"
"('13:37:05:853856', 64.2744)"
"('13:37:07:112371', 76.7121)"
"('13:37:08:372427', 78.6887)"
"('13:37:09:631887', 66.0479)"
"('13:37:10:887547', 64.6885)"
"('13:37:12:149112', 64.1572)"
"('13:37:13:409614', 63.9385)"
"('13:37:14:667696', 63.7119)"
"('13:37:15:924593', 75.9308)"
"('13:37:17:182008', 64.751)"
"('13:37:18:439459', 76.3059)"
"('13:37:19:695163', 78.0715)"
"('13:37:20:951853', 65.6573)"
"('13:37:22:208268', 76.9621)"
"('13:37:23:464508', 65.5635)"
"('13:37:24:719825', 77.0793)"
"('13:37:25:975042', 65.3994)"
"('13:37:27:230811', 64.1729)"
"('13:37:28:488335', 63.5869)"
"('13:37:29:751149', 63.3994)"
"('13:37:31:010713', 63.0244)"
"('13:37:32:267372', 63.0635)"
"('13:37:33:522515', 62.5791)"
"('13:37:34:776946', 75.009)"
"('13:37:36:032735', 77.3293)"
"('13:37:37:289577', 65.126)"
"('13:37:38:555148', 63.8369)"
"('13:37:39:810155', 75.8683)"
"('13:37:41:066248', 64.5869)"
"('13:37:42:321858', 63.1728)"
"('13:37:43:581256', 62.6416)"
"('13:37:44:836924', 62.3838)"
"('13:37:46:092612', 74.6886)"
"('13:37:47:347793', 76.8449)"
"('13:37:48:612444', 64.3369)"
"('13:37:49:869125', 62.8525)"
"('13:37:51:124332', 62.1416)"
"('13:37:52:379487', 74.2043)"
"('13:37:53:635206', 76.2512)"
"('13:37:54:891301', 64.1182)"
"('13:37:56:148914', 62.7119)"
"('13:37:57:409448', 74.5715)"
"('13:37:58:671411', 64.126)"
"('13:37:59:927764', 74.9777)"
"('13:38:01:183710', 63.8135)"
"('13:38:02:439414', 75.2511)"
"('13:38:03:705319', 64.665)"
"('13:38:04:965993', 62.8994)"
"('13:38:06:227016', 62.2978)"
"('13:38:07:483781', 62.0244)"
"('13:38:08:739475', 74.1183)"
"('13:38:09:995171', 76.3215)"
"('13:38:11:250924', 64.1963)"
"('13:38:12:506726', 75.4855)"
"('13:38:13:762095', 77.2277)"
"('13:38:15:017546', 77.7668)"
"('13:38:16:273915', 65.0479)"
"('13:38:17:529511', 63.4541)"
"('13:38:18:785154', 62.7197)"
"('13:38:20:048121', 62.4541)"
"('13:38:21:306497', 62.29)"
"('13:38:22:562852', 74.5324)"
"('13:38:23:823936', 75.0949)"
"('13:38:25:094608', 62.751)"
"('13:38:26:354071', 62.0713)"
"('13:38:27:612793', 61.9463)"
"('13:38:28:871038', 61.8447)"
"('13:38:30:126897', 73.8761)"
"('13:38:31:384265', 63.2666)"
"('13:38:32:642002', 62.2431)"
"('13:38:33:899296', 61.7666)"
"('13:38:35:164130', 61.7041)"
"('13:38:36:427822', 61.5556)"
"('13:38:37:689992', 61.6572)"
"('13:38:38:951980', 62.1259)"
"('13:38:40:207833', 73.6808)"
"('13:38:41:474387', 63.8994)"
"('13:38:42:731195', 62.0088)"
"('13:38:43:986935', 73.7824)"
"('13:38:45:245129', 62.5088)"
"('13:38:46:504299', 60.3603)"
"('13:38:47:774864', 62.0322)"
"('13:38:49:035169', 61.1103)"
"('13:38:50:294601', 61.0712)"
"('13:38:51:552064', 61.3134)"
"('13:38:52:809477', 61.2509)"
"('13:38:54:065106', 61.0478)"
"('13:38:55:321190', 73.173)"
"('13:38:56:576707', 62.5244)"
"('13:38:57:833569', 61.7744)"
"('13:38:59:089193', 73.6574)"
"('13:39:00:353083', 63.6807)"
"('13:39:01:613166', 74.3136)"
"('13:39:02:868558', 63.251)"
"('13:39:04:129215', 74.5168)"
"('13:39:05:385072', 76.3215)"
"('13:39:06:641562', 63.9541)"
"('13:39:07:898016', 62.6103)"
"('13:39:09:154105', 61.9697)"
"('13:39:10:409820', 74.0324)"
"('13:39:11:666313', 63.1416)"
"('13:39:12:923295', 62.1806)"
"('13:39:14:182355', 73.9855)"
"('13:39:15:438174', 75.8137)"
"('13:39:16:695578', 63.5635)"
"('13:39:17:958883', 62.5166)"
"('13:39:19:220554', 61.8759)"
"('13:39:20:481865', 73.8996)"
"('13:39:21:752964', 64.1885)"
"('13:39:23:009228', 74.5089)"
"('13:39:24:264960', 63.3838)"
"('13:39:25:522759', 62.2744)"
"('13:39:26:778245', 74.2199)"
"('13:39:28:032463', 76.2668)"
"('13:39:29:289816', 64.0479)"
"('13:39:30:550197', 75.2355)"
"('13:39:31:808828', 63.915)"
"('13:39:33:064902', 62.6806)"
"('13:39:34:324342', 62.0634)"
"('13:39:35:581267', 61.7509)"
"('13:39:36:837174', 61.5947)"
"('13:39:38:092504', 73.8136)"
"('13:39:39:348172', 63.0478)"
"('13:39:40:607092', 61.9853)"
"('13:39:41:868902', 61.6884)"
"('13:39:43:127581', 61.4775)"
"('13:39:44:383273', 73.5714)"
"('13:39:45:650659', 63.2744)"
"('13:39:46:906446', 74.2824)"
"('13:39:48:163928', 63.0088)"
"('13:39:49:420910', 74.2589)"
"('13:39:50:676854', 62.9619)"
"('13:39:51:935218', 61.7666)"
"('13:39:53:204297', 73.6417)"
"('13:39:54:463859', 62.9541)"
"('13:39:55:722764', 74.1418)"
"('13:39:56:982507', 62.8994)"
"('13:39:58:241265', 61.8213)"
"('13:39:59:497338', 61.165)"
"('13:40:00:753911', 61.0244)"
"('13:40:02:009314', 72.8761)"
"('13:40:03:264940', 62.3994)"
"('13:40:04:520628', 73.6417)"
"('13:40:05:776156', 62.6885)"
