Plant bioelectric data log. Project: Setup
R0-2020-05-01.csv
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('20:17:58:251042', 18.8128)"
"('20:17:59:506837', 14.4221)"
"('20:18:00:761933', 13.9143)"
"('20:18:02:016765', 17.219)"
"('20:18:03:271577', 17.5003)"
"('20:18:04:526455', 17.5471)"
"('20:18:05:781206', 17.5393)"
"('20:18:07:036105', 17.5393)"
"('20:18:08:291604', 13.9065)"
"('20:18:09:546720', 13.508)"
"('20:18:10:801505', 16.7034)"
"('20:18:12:056444', 17.0315)"
"('20:18:13:311258', 17.1878)"
"('20:18:14:566988', 13.6643)"
"('20:18:15:822211', 13.2736)"
"('20:18:17:076866', 16.5471)"
"('20:18:18:332818', 16.9378)"
"('20:18:19:588878', 13.469)"
"('20:18:20:843558', 16.594)"
"('20:18:22:098193', 16.9534)"
"('20:18:23:352960', 17.0393)"
"('20:18:24:608305', 13.4377)"
"('20:18:25:862892', 16.5628)"
"('20:18:27:117495', 16.8831)"
"('20:18:28:372700', 17.0003)"
"('20:18:29:628014', 13.5002)"
"('20:18:30:882774', 16.6331)"
"('20:18:32:137543', 16.9924)"
"('20:18:33:393265', 13.508)"
"('20:18:34:648886', 13.1721)"
"('20:18:35:903448', 16.4846)"
"('20:18:37:158072', 16.8987)"
"('20:18:38:413207', 17.0159)"
"('20:18:39:670590', 13.5471)"
"('20:18:40:925182', 16.6643)"
"('20:18:42:179838', 17.0393)"
"('20:18:43:434924', 17.2268)"
"('20:18:44:702751', 13.9299)"
"('20:18:45:957429', 16.8596)"
"('20:18:47:212283', 17.1409)"
"('20:18:48:469322', 13.6721)"
"('20:18:49:725271', 13.344)"
"('20:18:50:979944', 16.6956)"
"('20:18:52:234637', 17.094)"
"('20:18:53:489825', 17.2581)"
"('20:18:54:745699', 13.7268)"
"('20:18:56:000759', 13.4377)"
"('20:18:57:255871', 13.2736)"
"('20:18:58:512200', 13.2346)"
"('20:18:59:766916', 16.6253)"
"('20:19:01:021615', 17.1409)"
"('20:19:02:276281', 18.7112)"
"('20:19:03:531782', 16.2581)"
"('20:19:04:786541', 20.2737)"
"('20:19:06:041159', 20.9691)"
"('20:19:07:296012', 21.2738)"
"('20:19:08:552047', 17.1956)"
"('20:19:09:806866', 20.9847)"
"('20:19:11:061603', 21.4847)"
"('20:19:12:316501', 21.6878)"
"('20:19:13:572181', 17.3831)"
"('20:19:14:826275', 21.1331)"
"('20:19:16:080807', 21.5628)"
"('20:19:17:335517', 21.7347)"
"('20:19:18:591017', 17.4768)"
"('20:19:19:845541', 21.2347)"
"('20:19:21:100138', 21.6331)"
"('20:19:22:354896', 21.7972)"
"('20:19:23:610367', 17.5081)"
"('20:19:24:864925', 21.3363)"
"('20:19:26:119851', 21.766)"
Plant bioelectric data log. Project: Setup
R0-2020-05-01.csv
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('20:19:43:441205', 24.016)"
"('20:19:44:705883', 18.6331)"
"('20:19:45:960528', 22.3285)"
"('20:19:47:215527', 22.5707)"
