Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:15:47:934000,-0.11718928816662852,Channel B: ,15:15:47:983424,-80.00903334096284
Channel A: ,15:15:49:019959,-0.11718928816662852,Channel B: ,15:15:48:970489,-79.91528191042954
Channel A: ,15:15:50:014496,-0.11718928816662852,Channel B: ,15:15:49:965136,-79.85278095674067
Channel A: ,15:15:51:003324,-0.11718928816662852,Channel B: ,15:15:50:953612,-79.7824673838407
Channel A: ,15:15:51:993543,-0.11718928816662852,Channel B: ,15:15:51:944332,-79.74340428778515
Channel A: ,15:15:53:011085,-0.1250019073777371,Channel B: ,15:15:52:960096,-79.92309452964065
Channel A: ,15:15:54:010844,-0.1250019073777371,Channel B: ,15:15:53:961664,-80.16528572518502
Channel A: ,15:15:55:020410,-0.1250019073777371,Channel B: ,15:15:54:970849,-80.32153810940719
Channel A: ,15:15:56:015569,-0.13281452658884565,Channel B: ,15:15:55:964699,-80.39966430151827
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:15:58:363379,-0.1250019073777371,Channel B: ,15:15:58:412724,-80.04028381780728
Channel A: ,15:15:59:449174,-0.11718928816662852,Channel B: ,15:15:59:399793,-79.89965667200732
Channel A: ,15:16:00:437062,-0.11718928816662852,Channel B: ,15:16:00:387743,-79.7824673838407
Channel A: ,15:16:01:427655,-0.11718928816662852,Channel B: ,15:16:01:377488,-79.70434119172961
Channel A: ,15:16:02:425888,-0.11718928816662852,Channel B: ,15:16:02:375022,-79.65746547646296
Channel A: ,15:16:03:443674,-0.11718928816662852,Channel B: ,15:16:03:392802,-79.59496452277409
Channel A: ,15:16:04:359336,-0.11718928816662852,Channel B: ,15:16:04:410256,-79.53246356908522
Channel A: ,15:16:05:378848,-0.11718928816662852,Channel B: ,15:16:05:429793,-79.48558785381857
Channel A: ,15:16:06:398810,-0.11718928816662852,Channel B: ,15:16:06:449745,-79.45433737697414
Channel A: ,15:16:07:409128,-0.11718928816662852,Channel B: ,15:16:07:458361,-79.39964904249638
Channel A: ,15:16:08:405095,-0.11718928816662852,Channel B: ,15:16:08:454326,-79.36058594644084
Channel A: ,15:16:09:397065,-0.11718928816662852,Channel B: ,15:16:09:446293,-79.29027237354086
Channel A: ,15:16:10:388060,-0.11718928816662852,Channel B: ,15:16:10:437276,-79.25120927748532
