Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,15:30:37:040415,-0.11718928816662852,Channel B: ,15:30:36:991121,-81.4309300373846
Channel A: ,15:30:38:027831,-0.11718928816662852,Channel B: ,15:30:37:978431,-81.243427176318
Channel A: ,15:30:39:032295,-0.11718928816662852,Channel B: ,15:30:38:982731,-81.37624170290684
Channel A: ,15:30:40:022754,-0.1250019073777371,Channel B: ,15:30:39:972856,-81.6184328984512
Channel A: ,15:30:41:010837,-0.1250019073777371,Channel B: ,15:30:40:961571,-81.69655909056229
Channel A: ,15:30:42:022418,-0.1250019073777371,Channel B: ,15:30:41:971503,-81.73562218661783
Channel A: ,15:30:43:039140,-0.1250019073777371,Channel B: ,15:30:42:989028,-81.76687266346227
Channel A: ,15:30:44:033813,-0.11718928816662852,Channel B: ,15:30:43:982831,-81.20436408026245
Channel A: ,15:30:44:950880,-0.11718928816662852,Channel B: ,15:30:45:001968,-81.04811169604028
Channel A: ,15:30:45:972211,-0.10937666895551995,Channel B: ,15:30:46:023234,-80.91529716945143
Channel A: ,15:30:46:991798,-0.11718928816662852,Channel B: ,15:30:47:042732,-80.81373311970702
Channel A: ,15:30:48:003600,-0.10937666895551995,Channel B: ,15:30:47:954331,-80.71216906996261
Channel A: ,15:30:49:004264,-0.10937666895551995,Channel B: ,15:30:48:953350,-80.63404287785153
Channel A: ,15:30:50:022516,-0.10937666895551995,Channel B: ,15:30:49:971613,-80.55591668574044
Channel A: ,15:30:51:038146,-0.11718928816662852,Channel B: ,15:30:50:987733,-80.47779049362936
Channel A: ,15:30:51:954362,-0.1250019073777371,Channel B: ,15:30:52:005118,-80.98561074235141
Channel A: ,15:30:52:966036,-0.1250019073777371,Channel B: ,15:30:53:015274,-81.12623788815137
Channel A: ,15:30:53:967197,-0.1250019073777371,Channel B: ,15:30:54:016578,-81.21998931868467
Channel A: ,15:30:54:962211,-0.1250019073777371,Channel B: ,15:30:55:013286,-81.28249027237354
Channel A: ,15:30:55:984658,-0.1250019073777371,Channel B: ,15:30:56:035627,-81.35280384527351
