Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,14:55:28:044776,-0.1250019073777371,Channel B: ,14:55:27:994228,-82.48563363088427
Channel A: ,14:55:29:034890,-0.1250019073777371,Channel B: ,14:55:28:985447,-82.610635538262
Channel A: ,14:55:30:028675,-82.75907530327306,Channel B: ,14:55:29:979291,-0.1250019073777371
Channel A: ,14:55:31:019328,-82.80595101853972,Channel B: ,14:55:30:969366,-0.1250019073777371
Channel A: ,14:55:32:016090,-82.89188982986191,Channel B: ,14:55:31:965153,-0.1250019073777371
Channel A: ,14:55:33:033874,-82.94657816433967,Channel B: ,14:55:32:982940,-0.1250019073777371
Channel A: ,14:55:34:043799,-82.99345387960632,Channel B: ,14:55:33:994576,-0.1250019073777371
Channel A: ,14:55:35:047542,-83.04814221408408,Channel B: ,14:55:34:996641,-0.1250019073777371
Channel A: ,14:55:35:966565,-83.10283054856184,Channel B: ,14:55:36:016014,-0.1250019073777371
Channel A: ,14:55:36:960593,-83.13408102540627,Channel B: ,14:55:37:011440,-0.1250019073777371
Channel A: ,14:55:37:977994,-83.18876935988403,Channel B: ,14:55:38:028849,-0.1250019073777371
Channel A: ,14:55:38:979701,-0.1250019073777371,Channel B: ,14:55:39:029333,-83.23564507515069
Channel A: ,14:55:39:983283,-83.26689555199512,Channel B: ,14:55:40:032525,-0.1250019073777371
Plant bioelectric data log. Project: Setup
Time,Value
Channel A: ,14:55:42:441391,-0.10937666895551995,Channel B: ,14:55:42:392088,-82.55594720378424
Channel A: ,14:55:43:427732,-0.10937666895551995,Channel B: ,14:55:43:378341,-82.38406958113985
Channel A: ,14:55:44:421823,-0.10937666895551995,Channel B: ,14:55:44:372439,-82.31375600823988
Channel A: ,14:55:45:413267,-0.10937666895551995,Channel B: ,14:55:45:363697,-82.22781719691768
Channel A: ,14:55:46:401380,-0.10937666895551995,Channel B: ,14:55:46:352158,-82.14187838559549
Channel A: ,14:55:47:421233,-0.10937666895551995,Channel B: ,14:55:47:370341,-82.14187838559549
Channel A: ,14:55:48:422396,-0.10937666895551995,Channel B: ,14:55:48:373140,-82.0559395742733
Channel A: ,14:55:49:422817,-0.10937666895551995,Channel B: ,14:55:49:373549,-82.00125123979552
Channel A: ,14:55:50:416938,-0.10937666895551995,Channel B: ,14:55:50:367702,-81.94656290531776
Channel A: ,14:55:51:424948,-0.10937666895551995,Channel B: ,14:55:51:373992,-81.91531242847333
Channel A: ,14:55:52:441188,-0.10937666895551995,Channel B: ,14:55:52:391597,-81.93875028610665
Channel A: ,14:55:53:444102,-0.10937666895551995,Channel B: ,14:55:53:393171,-81.83718623636224
Channel A: ,14:55:54:361357,-0.10937666895551995,Channel B: ,14:55:54:412261,-81.77468528267337
Channel A: ,14:55:55:378923,-0.11718928816662852,Channel B: ,14:55:55:429816,-81.72780956740672
Channel A: ,14:55:56:396490,-0.10937666895551995,Channel B: ,14:55:56:447376,-81.68874647135118
Channel A: ,14:55:57:408959,-0.10937666895551995,Channel B: ,14:55:57:359624,-81.62624551766231
Channel A: ,14:55:58:406505,-0.10937666895551995,Channel B: ,14:55:58:357014,-81.57936980239566
Channel A: ,14:55:59:401193,-0.10937666895551995,Channel B: ,14:55:59:451503,-81.51686884870679
Channel A: ,14:56:00:400139,-0.10937666895551995,Channel B: ,14:56:00:450968,-81.49343099107347
Channel A: ,14:56:01:393838,-0.10937666895551995,Channel B: ,14:56:01:444897,-81.4387426565957
